player_id,name,country,pos,price,expected_points_md1_3,role
1098,David Raya,ESP,GK,5,12.16,XI
1144,Silvan Widmer,SUI,DEF,4.2,13.31,XI
1085,Pedro Porro,ESP,DEF,5.5,13.23,XI
1088,Marc Cucurella,ESP,DEF,5.1,12.15,XI
1158,Rubén Vargas,SUI,MID,6.8,16.1,CAPTAIN
138,Kevin De Bruyne,BEL,MID,7.5,15.68,XI
256,Luis Díaz,COL,MID,8.1,15.36,XI
125,Jérémy Doku,BEL,MID,7.5,15.23,XI
1149,Breel Embolo,SUI,FWD,7.5,15.92,vice
855,Erling Haaland,NOR,FWD,10.5,15.82,XI
38,Lionel Messi,ARG,FWD,10,15.74,XI
423,Hernán Galíndez,ECU,GK,4.2,11.3,bench4
117,Thomas Meunier,BEL,DEF,4.8,11.46,bench2
457,Nico O'Reilly,ENG,DEF,4.7,11.43,bench3
939,Bruno Fernandes,POR,MID,8.5,15.08,bench1
