wc_player_id,full_name,known_name,country,position,price,club_league,club_name,club_player_id,club_match,curated_player_id,curated_match,euro2024_goals
1,Rayan Aït-Nouri,,ALG,DEF,4.9,Premier League,Rayan Aït Nouri,931278,full_name,,,
2,Ramy Bensebaini,,ALG,DEF,4.4,Bundesliga,Ramy Bensebaini,fm:696,full_name,,,
3,Aïssa Mandi,,ALG,DEF,3.9,Ligue 1,Aïssa Mandi,122810,full_name,,,
4,Mehdi Dorval,,ALG,DEF,3.7,,,,,,,
5,Zinéddine Belaïd,,ALG,DEF,3.7,,,,,,,
6,Sohaib Nair,,ALG,DEF,3.5,,,,,,,
7,Rafik Belghali,,ALG,DEF,3.5,,,,,,,
8,Achref Abada,,ALG,DEF,3.5,,,,,,,
9,Mohammed Amoura,,ALG,FWD,6.2,Bundesliga,Mohamed Amoura,fm:5316,unique_last_name,,,
10,Amine Gouiri,,ALG,FWD,6.2,Ligue 1,Amine Gouiri,859026,full_name,,,
11,Riyad Mahrez,,ALG,MID,6.5,,,,,,,
12,Ibrahim Maza,,ALG,FWD,5.4,,,,,,,
13,Anis Hadj Moussa,,ALG,FWD,5.3,,,,,,,
14,Farès Ghedjemis,,ALG,FWD,4.4,,,,,,,
15,Ahmed Benbouali,,ALG,FWD,4.2,,,,,,,
16,Amin Chiakha,,ALG,FWD,4,,,,,,,
17,Anthony Mandréa,,ALG,GK,3.9,,,,,,,
18,Luca Zidane,,ALG,GK,3.8,,,,,,,
19,Melvin Mastil,,ALG,GK,3.5,,,,,,,
20,Kilian Belazzoug,,ALG,GK,3.5,,,,,,,
21,Adil Boulbina,,ALG,MID,4,,,,,,,
22,Yacine Titraoui,,ALG,MID,4.7,,,,,,,
23,Ramiz Zerrouki,,ALG,MID,5.3,,,,,,,
24,Hicham Boudaoui,,ALG,MID,5.5,Ligue 1,Hicham Boudaoui,985923,full_name,,,
25,Adil Aouchiche,,ALG,MID,5.6,,,,,,,
26,Houssem Aouar,,ALG,MID,6,,,,,,,
27,Farès Chaïbi,,ALG,MID,6.2,,,,,,,
28,Cristian Romero,,ARG,DEF,4.9,Premier League,Cristian Romero,829932,full_name,7526fff9-a802-590e-a748-47155c97487a,name+country,
29,Marcos Senesi,,ARG,DEF,4.7,,,,,,,
30,Nahuel Molina,,ARG,DEF,4.4,La Liga,Nahuel Molina,laliga:nahuel-molina,full_name,c913aa8e-5ee7-5dfa-a9de-4a56e9b97889,name+country,
31,Nicolás Otamendi,,ARG,DEF,4.4,Liga Portugal,Nicolas Otamendi,fm:725,full_name,1a8a662f-aaff-59ba-9439-839f6354a347,name+country,
32,Marcos Acuña,,ARG,DEF,4.3,,,,,58fc463f-7063-541e-b077-cbfb82d5aadf,name+country,
33,Lucas Martínez Quarta,,ARG,DEF,4.3,,,,,,,
34,Nicolás Tagliafico,,ARG,DEF,4.3,Ligue 1,Nicolás Tagliafico,158243,full_name,79cc2de7-6b66-5e72-b491-8208a9c1f6b6,name+country,
35,Gabriel Rojas,,ARG,DEF,4,,,,,,,
36,Agustín Giay,,ARG,DEF,3.7,,,,,,,
38,Lionel Messi,,ARG,FWD,10,MLS,Lionel Messi,fm:11021,full_name,815f9a08-b302-5959-bf1a-759cf2a34a56,name+country,
