player_id,name,country,pos,price,p_start,md1,md2,md3,total,pct_selected
38,Lionel Messi,ARG,FWD,10,0.93,5.58,4.15,5.62,15.35,55.8
1092,Lamine Yamal,ESP,MID,10,0.93,5.66,5.24,3.94,14.83,38.4
1105,Dani Olmo,ESP,MID,7.7,0.9,5.5,5.1,3.86,14.46,3.8
500,Kylian Mbappé,FRA,FWD,10.5,0.93,5.15,5.16,4.11,14.43,71
468,Harry Kane,ENG,FWD,10.5,0.93,4.53,5.41,4.46,14.4,46.5
1085,Pedro Porro,ESP,DEF,5.5,0.93,4.61,4.86,3.82,13.3,10.8
2000,Nico Williams,ESP,MID,7.8,0.93,4.9,4.58,3.52,13.01,1.6
1094,Mikel Oyarzabal,ESP,FWD,8.1,0.93,4.98,4.53,3.45,12.96,15
469,Bukayo Saka,ENG,MID,9.5,0.93,3.96,4.59,4.02,12.57,4.8
1088,Marc Cucurella,ESP,DEF,5.1,0.93,4.16,4.48,3.63,12.27,49.7
1099,Unai Simón,ESP,GK,5,0.9,4.06,4.34,3.84,12.24,19.2
1102,Marcos Llorente,ESP,DEF,5.5,0.93,4.14,4.46,3.61,12.2,4
501,Ousmane Dembélé,FRA,MID,10,0.93,4.26,4.39,3.38,12.04,46
1086,Aymeric Laporte,ESP,DEF,5.5,0.93,4.02,4.37,3.57,11.96,20.1
491,Jude Bellingham,ENG,MID,8.3,0.93,3.73,4.39,3.79,11.91,43.9
53,Valentín Barco,ARG,MID,6.2,0.9,4.15,3.41,4.21,11.77,0.2
57,Enzo Fernández,ARG,MID,7.5,0.93,4.16,3.33,4.23,11.73,5.2
1106,Pedri,ESP,MID,8.1,0.93,4.26,4.07,3.34,11.67,7.2
1093,Ferran Torres,ESP,FWD,7.8,0.75,4.44,4.05,3.11,11.59,2
457,Nico O'Reilly,ENG,DEF,4.7,0.93,3.3,4.35,3.93,11.58,12.9
1431,Bradley Barcola,FRA,MID,8,0.93,4.02,4.15,3.32,11.5,5.7
30,Nahuel Molina,ARG,DEF,4.4,0.93,4.13,2.91,4.45,11.5,5.3
463,Ezri Konsa,ENG,DEF,4.8,0.93,3.18,4.17,3.82,11.18,6.3
28,Cristian Romero,ARG,DEF,4.9,0.93,4.0,2.83,4.32,11.15,10.3
516,Rayan Cherki,FRA,MID,8,0.9,3.87,4.0,3.24,11.1,3.9
461,Marc Guéhi,ENG,DEF,5.1,0.93,3.15,4.14,3.79,11.08,7
1338,Lautaro Martínez,ARG,FWD,8.8,0.75,4.01,3.02,4.04,11.07,2.9
477,Jordan Pickford,ENG,GK,4.8,0.9,3.32,3.89,3.76,10.96,18
471,Marcus Rashford,ENG,MID,7.5,0.9,3.35,4.03,3.41,10.78,2
55,Thiago Almada,ARG,MID,6.5,0.93,3.76,3.04,3.83,10.64,0.3
1709,Reece James,ENG,DEF,5.2,0.93,3.02,3.94,3.66,10.62,3
45,Emiliano Martínez,ARG,GK,5,0.9,3.62,3.13,3.84,10.59,36.3
56,Alexis Mac Allister,ARG,MID,6.6,0.93,3.66,3.09,3.72,10.47,11.7
506,Mike Maignan,FRA,GK,5,0.9,3.59,4.13,2.73,10.45,21
1710,Eberechi Eze,ENG,MID,8,0.93,3.24,3.76,3.31,10.32,0.9
1089,Pau Cubarsí,ESP,DEF,5,0.75,3.48,3.74,3.04,10.26,15.7
29,Marcos Senesi,ARG,DEF,4.7,0.93,3.5,2.56,3.81,9.86,0.3
1318,Lisandro Martínez,ARG,DEF,4.6,0.93,3.41,2.54,3.72,9.68,25.1
1429,William Saliba,FRA,DEF,5.3,0.93,3.45,4.23,1.94,9.62,16.1
1430,Jules Koundé,FRA,DEF,5.4,0.93,3.44,4.22,1.91,9.57,12.6
494,Dayot Upamecano,FRA,DEF,5.3,0.93,3.44,4.22,1.91,9.57,15.7
1711,Ollie Watkins,ENG,FWD,7.9,0.75,3.01,3.54,2.97,9.53,0.9
496,Lucas Hernández,FRA,DEF,5.2,0.93,3.34,4.12,1.86,9.31,1.4
502,Marcus Thuram,FRA,FWD,7.5,0.75,3.25,3.25,2.7,9.21,0.4
