 	Playing Time 	Performance 	Penalty Kicks	
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	GA 	GA90 	SoTA 	Saves 	Save% 	W 	D 	L 	CS 	CS% 	PKatt 	PKA 	PKsv 	PKm 	Save% 	Matches
1	Adrián	es ESP	GK	Real Betis	38	1987	1	1	90	1.0	1	1.00	7	6	85.7	1	0	0	0	0.0	0	0	0	0		Matches
2	Julen Agirrezabala	es ESP	GK	Valencia	24	2000	18	18	1,620	18.0	30	1.67	79	52	65.8	3	7	8	4	22.2	4	3	1	0	25.0	Matches
3	Augusto Batalla	ar ARG	GK	Rayo Vallecano	29	1996	34	34	3,060	34.0	37	1.09	122	91	73.8	10	13	11	11	32.4	6	5	1	0	16.7	Matches
4	Lucas Bergström	fi FIN	GK	Mallorca	22	2002	5	5	450	5.0	7	1.40	22	15	68.2	1	2	2	2	40.0	0	0	0	0		Matches
5	Dani Cárdenas	es ESP	GK	Rayo Vallecano	28	1997	4	4	360	4.0	7	1.75	24	19	75.0	2	1	1	1	25.0	2	1	1	0	50.0	Matches
6	Thibaut Courtois	be BEL	GK	Real Madrid	33	1992	32	32	2,880	32.0	28	0.87	94	70	74.5	24	3	5	13	40.6	4	4	0	0	0.0	Matches
7	Pablo Cuñat	es ESP	GK	Levante	23	2002	2	2	180	2.0	5	2.50	16	11	68.8	0	0	2	0	0.0	0	0	0	0		Matches
8	Stole Dimitrievski	mk MKD	GK	Valencia	31	1993	20	20	1,800	20.0	25	1.25	74	52	70.3	10	3	7	5	25.0	4	3	0	1	0.0	Matches
9	Matías Dituro	ar ARG	GK	Elche	38	1987	22	22	1,980	22.0	29	1.32	89	64	71.9	7	9	6	4	18.2	5	4	0	1	0.0	Matches
10	Marko Dmitrović	rs SRB	GK	Espanyol	33	1992	37	37	3,330	37.0	54	1.46	182	133	73.1	12	9	16	10	27.0	5	5	0	0	0.0	Matches
11	Aarón Escandell	es ESP	GK	Oviedo	29	1995	36	36	3,240	36.0	56	1.56	194	145	73.7	6	11	19	10	27.8	7	5	2	0	28.6	Matches
12	Aitor Fernández	es ESP	GK	Osasuna	34	1991	2	1	136	1.5	3	1.99	11	9	81.8	0	0	1	0	0.0	1	1	0	0	0.0	Matches
13	Fortuño	es ESP	GK	Espanyol	23	2001	1	1	90	1.0	1	1.00	3	2	66.7	0	1	0	0	0.0	0	0	0	0		Matches
14	Joan García	es ESP	GK	Barcelona	24	2001	30	30	2,700	30.0	21	0.70	92	74	80.4	27	1	2	15	50.0	3	3	0	0	0.0	Matches
15	Paulo Gazzaniga	ar ARG	GK	Girona	33	1992	35	35	3,102	34.5	47	1.36	158	115	72.8	9	13	13	6	17.1	5	4	0	1	0.0	Matches
16	Sergio Herrera	es ESP	GK	Osasuna	32	1993	37	37	3,284	36.5	47	1.29	152	113	74.3	11	9	17	7	18.9	8	8	0	0	0.0	Matches
17	Luiz Lúcio Reis Júnior	br BRA	GK	Villarreal	24	2001	28	28	2,520	28.0	30	1.07	96	72	74.0	18	3	7	8	28.6	6	5	1	0	16.7	Matches
18	Vladyslav Krapyvtsov	ua UKR	GK	Girona	20	2005	2	1	136	1.5	6	3.97	9	4	44.4	0	0	1	0	0.0	1	1	0	0	0.0	Matches
19	Pau López	es ESP	GK	Real Betis	30	1994	9	9	810	9.0	11	1.22	39	29	71.8	4	2	3	2	22.2	1	0	1	0	100.0	Matches
20	Andriy Lunin	ua UKR	GK	Real Madrid	26	1999	6	6	540	6.0	7	1.17	23	16	69.6	3	2	1	1	16.7	0	0	0	0		Matches
21	Unai Marrero	es ESP	GK	Real Sociedad	23	2001	1	1	90	1.0	1	1.00	8	7	87.5	0	1	0	0	0.0	0	0	0	0		Matches
22	Horaţiu Moldovan	ro ROU	GK	Oviedo	27	1998	2	2	180	2.0	4	2.00	8	4	50.0	0	0	2	0	0.0	0	0	0	0		Matches
23	Juan Musso	ar ARG	GK	Atlético Madrid	31	1994	8	8	720	8.0	13	1.62	32	22	68.8	4	0	4	3	37.5	3	3	0	0	0.0	Matches
24	Ørjan Nyland	no NOR	GK	Sevilla	34	1990	5	5	450	5.0	8	1.60	18	11	61.1	1	1	3	1	20.0	1	1	0	0	0.0	Matches
25	Jan Oblak	si SVN	GK	Atlético Madrid	32	1993	30	30	2,700	30.0	31	1.03	104	75	72.1	17	6	7	11	36.7	3	2	0	1	0.0	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	GA 	GA90 	SoTA 	Saves 	Save% 	W 	D 	L 	CS 	CS% 	PKatt 	PKA 	PKsv 	PKm 	Save% 	Matches
26	Alex Padilla	es ESP	GK	Athletic Club	21	2003	1	1	90	1.0	4	4.00	8	4	50.0	0	0	1	0	0.0	0	0	0	0		Matches
27	Iñaki Peña	es ESP	GK	Elche	26	1999	16	16	1,440	16.0	28	1.75	81	55	67.9	3	4	9	4	25.0	2	2	0	0	0.0	Matches
