 	Playing Time 	Performance 	Per 90 Minutes	
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
1	Jones El-Abdellaoui	ma MAR	MF,FW	Celta Vigo	19	2006	22	4	681	7.6	2	0	2	2	0	0	0	0	0.26	0.00	0.26	0.26	0.26	Matches
2	Tay Abed	il ISR	MF	Levante	21	2004	7	0	93	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
3	Abdel Abqar	ma MAR	DF	Getafe	26	1999	23	17	1,437	16.0	0	2	2	0	0	0	10	1	0.00	0.13	0.13	0.00	0.13	Matches
4	Akor Adams	ng NGA	FW	Sevilla	25	2000	32	21	2,064	22.9	10	3	13	7	3	3	3	0	0.44	0.13	0.57	0.31	0.44	Matches
5	Adrián	es ESP	GK	Real Betis	38	1987	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
6	David Affengruber	at AUT	DF	Elche	24	2001	36	33	2,949	32.8	1	1	2	1	0	0	7	1	0.03	0.03	0.06	0.03	0.06	Matches
7	Julen Agirrezabala	es ESP	GK	Valencia	24	2000	18	18	1,620	18.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
8	Lucien Agoume	fr FRA	MF	Sevilla	23	2002	34	31	2,686	29.8	1	3	4	1	0	0	12	0	0.03	0.10	0.13	0.03	0.13	Matches
9	Diego Aguado	es ESP	DF	Real Madrid	18	2007	1	0	30	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
10	Marc Aguado	es ESP	MF	Elche	25	2000	35	30	2,500	27.8	1	2	3	1	0	0	3	0	0.04	0.07	0.11	0.04	0.11	Matches
11	Pablo Agudín	es ESP	MF	Oviedo	17	2007	7	0	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
12	Ibai Aguirre	es ESP	MF	Real Sociedad	18	2007	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
13	Lucas Ahijado	es ESP	DF	Oviedo	30	1995	20	11	1,098	12.2	0	1	1	0	0	0	3	0	0.00	0.08	0.08	0.00	0.08	Matches
14	Joseph Aidoo	gh GHA	DF	Celta Vigo	29	1995	8	7	639	7.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
15	Ilias Akhomach	ma MAR	MF,FW	Rayo Vallecano	21	2004	11	7	709	7.9	0	1	1	0	0	0	2	0	0.00	0.13	0.13	0.00	0.13	Matches
16	Ilias Akhomach	ma MAR	MF	Villarreal	21	2004	9	2	188	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
17	David Alaba	at AUT	DF	Real Madrid	33	1992	11	5	424	4.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
18	Alexandre Alemão	br BRA	FW	Rayo Vallecano	27	1998	26	11	1,136	12.6	4	0	4	4	0	0	3	0	0.32	0.00	0.32	0.32	0.32	Matches
19	Carles Aleñá	es ESP	MF	Alavés	27	1998	34	23	1,989	22.1	0	4	4	0	0	0	5	0	0.00	0.18	0.18	0.00	0.18	Matches
20	Trent Alexander-Arnold	eng ENG	DF	Real Madrid	26	1998	21	14	1,163	12.9	0	4	4	0	0	0	4	0	0.00	0.31	0.31	0.00	0.31	Matches
21	Alfon	es ESP	MF	Villarreal	26	1999	10	3	333	3.7	1	0	1	1	0	0	0	0	0.27	0.00	0.27	0.27	0.27	Matches
22	Alfon	es ESP	MF	Sevilla	26	1999	10	4	312	3.5	1	0	1	1	0	0	0	0	0.29	0.00	0.29	0.29	0.29	Matches
23	Thiago Almada	ar ARG	MF,FW	Atlético Madrid	24	2001	27	16	1,311	14.6	3	1	4	3	0	0	2	1	0.21	0.07	0.27	0.21	0.27	Matches
24	Domingos André Ribeiro Almeida	pt POR	MF	Valencia	25	2000	22	11	1,017	11.3	0	2	2	0	0	0	0	0	0.00	0.18	0.18	0.00	0.18	Matches
25	Marcos Alonso	es ESP	DF	Celta Vigo	34	1990	32	31	2,768	30.8	1	0	1	0	1	1	5	0	0.03	0.00	0.03	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
26	Adrià Altimira	es ESP	DF,MF	Villarreal	24	2001	1	0	9	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
27	Sergi Altimira	es ESP	MF	Real Betis	23	2001	24	13	1,186	13.2	1	2	3	1	0	0	3	0	0.08	0.15	0.23	0.08	0.23	Matches
28	Carlos Álvarez	es ESP	MF	Levante	21	2003	30	23	1,890	21.0	3	1	4	3	0	0	3	0	0.14	0.05	0.19	0.14	0.19	Matches
29	Hugo Álvarez	es ESP	FW,MF	Celta Vigo	22	2003	28	15	1,340	14.9	4	2	6	4	0	0	2	0	0.27	0.13	0.40	0.27	0.40	Matches
30	Julián Álvarez	ar ARG	FW	Atlético Madrid	25	2000	29	22	1,895	21.1	8	4	12	6	2	3	2	0	0.38	0.19	0.57	0.28	0.47	Matches
31	Yeray Álvarez	es ESP	DF	Athletic Club	30	1995	7	6	513	5.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
32	Sofyan Amrabat	ma MAR	MF	Real Betis	28	1996	17	14	1,295	14.4	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
33	Manuel Ángel	es ESP	MF	Real Madrid	21	2004	4	1	96	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
34	Miguel Ángel Rubio	es ESP	DF	Espanyol	27	1998	12	1	206	2.3	1	0	1	1	0	0	0	0	0.44	0.00	0.44	0.44	0.44	Matches
35	Miguel Ángel Sierra	es ESP	FW	Sevilla	21	2004	4	0	62	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
36	Andrés Antañón	es ESP	FW	Celta Vigo	18	2007	2	1	63	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
37	Antoniu	es ESP	MF	Espanyol	22	2002	13	3	289	3.2	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
38	Antony	br BRA	MF,FW	Real Betis	25	2000	32	30	2,447	27.2	8	6	14	8	0	0	6	1	0.29	0.22	0.51	0.29	0.51	Matches
39	Mauro Arambarri	uy URU	MF	Getafe	29	1995	37	37	3,249	36.1	6	2	8	4	2	3	6	0	0.17	0.06	0.22	0.11	0.17	Matches
40	Jon Aramburu	ve VEN	DF	Real Sociedad	23	2002	35	31	2,773	30.8	1	0	1	1	0	0	11	0	0.03	0.00	0.03	0.03	0.03	Matches
41	Juan Arango	ve VEN	MF	Girona	19	2006	2	0	18	0.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
42	Ronald Araújo	uy URU	DF	Barcelona	26	1999	24	11	1,071	11.9	3	0	3	3	0	0	2	0	0.25	0.00	0.25	0.25	0.25	Matches
43	Jesús Areso	es ESP	DF	Athletic Club	26	1999	26	14	1,506	16.7	0	1	1	0	0	0	3	0	0.00	0.06	0.06	0.00	0.06	Matches
44	Iñigo Arguibide	es ESP	DF	Osasuna	20	2005	6	2	187	2.1	0	0	0	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	Matches
45	Kervin Arriaga	hn HON	MF	Levante	27	1998	27	16	1,532	17.0	3	3	6	3	0	0	8	1	0.18	0.18	0.35	0.18	0.35	Matches
46	Takuma Asano	jp JPN	MF,FW	Mallorca	30	1994	20	8	664	7.4	1	0	1	1	0	0	2	0	0.14	0.00	0.14	0.14	0.14	Matches
47	Raúl Asencio	es ESP	DF	Real Madrid	22	2003	23	18	1,708	19.0	2	0	2	2	0	0	4	0	0.11	0.00	0.11	0.11	0.11	Matches
48	Iago Aspas	es ESP	FW,MF	Celta Vigo	37	1987	32	11	1,140	12.7	5	3	8	3	2	2	4	0	0.39	0.24	0.63	0.24	0.47	Matches
49	Yaser Asprilla	co COL	FW,MF	Girona	21	2003	15	6	611	6.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
50	Lander Astiazaran	es ESP	MF	Real Sociedad	19	2006	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
51	Ezequiel Ávila	ar ARG	FW	Real Betis	31	1994	16	3	380	4.2	1	0	1	0	1	1	3	0	0.24	0.00	0.24	0.00	0.00	Matches
52	César Azpilicueta	es ESP	DF	Sevilla	35	1989	17	17	1,213	13.5	0	1	1	0	0	0	4	0	0.00	0.07	0.07	0.00	0.07	Matches
53	Álex Baena	es ESP	MF,FW	Atlético Madrid	24	2001	27	21	1,560	17.3	2	3	5	2	0	0	5	0	0.12	0.17	0.29	0.12	0.29	Matches
54	Eric Bailly	ci CIV	DF	Oviedo	31	1994	15	15	1,234	13.7	1	0	1	1	0	0	3	0	0.07	0.00	0.07	0.07	0.07	Matches
55	Cédric Bakambu	cd COD	FW	Real Betis	34	1991	18	5	569	6.3	3	1	4	3	0	0	1	0	0.47	0.16	0.63	0.47	0.63	Matches
56	Alejandro Balde	es ESP	DF	Barcelona	21	2003	28	21	1,869	20.8	0	2	2	0	0	0	2	0	0.00	0.10	0.10	0.00	0.10	Matches
57	Carlos Ballestero	es ESP	DF	Alavés	21	2004	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
58	Iván Balliu	al ALB	DF	Rayo Vallecano	33	1992	14	6	582	6.5	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
59	Roony Bardghji	se SWE	MF,FW	Barcelona	19	2005	21	7	648	7.2	1	1	2	1	0	0	0	0	0.14	0.14	0.28	0.14	0.28	Matches
60	Kike Barja	es ESP	MF	Osasuna	28	1997	27	2	446	5.0	2	2	4	2	0	0	3	0	0.40	0.40	0.81	0.40	0.81	Matches
61	Ander Barrenetxea	es ESP	MF	Real Sociedad	23	2001	30	22	1,763	19.6	3	5	8	3	0	0	5	0	0.15	0.26	0.41	0.15	0.41	Matches
62	Pablo Barrios	es ESP	MF	Atlético Madrid	22	2003	23	20	1,661	18.5	1	1	2	1	0	0	0	0	0.05	0.05	0.11	0.05	0.11	Matches
63	Marc Bartra	es ESP	DF	Real Betis	34	1991	25	21	1,978	22.0	1	0	1	1	0	0	3	0	0.05	0.00	0.05	0.05	0.05	Matches
64	Augusto Batalla	ar ARG	GK	Rayo Vallecano	29	1996	34	34	3,060	34.0	0	0	0	0	0	0	6	0	0.00	0.00	0.00	0.00	0.00	Matches
65	Samu Becerra	es ESP	MF	Rayo Vallecano	19	2006	3	0	12	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
66	Sheraldo Becker	sr SUR	FW,MF	Osasuna	30	1995	9	0	158	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
67	Donny van de Beek	nl NED	MF	Girona	28	1997	2	1	41	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
68	Luken Beitia	es ESP	DF	Real Sociedad	21	2004	2	1	95	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
69	Ismael Bekhoucha	ma MAR	DF	Getafe	20	2004	4	1	122	1.4	0	1	1	0	0	0	2	0	0.00	0.74	0.74	0.00	0.74	Matches
70	Rayane Belaid	es ESP	MF,FW	Atlético Madrid	20	2005	2	2	132	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
